publication_id,keyword_id,score,pub_id,kw_id
93644,28338,0.19386,p93644,k28338
93644,37574,0.315238,p93644,k37574
140362,174,0.477544,p140362,k174
140362,3382,0.315703,p140362,k3382
140362,4354,0.322218,p140362,k4354
140362,14106,0.319877,p140362,k14106
140362,25897,0.285739,p140362,k25897
140362,47609,0.0129675,p140362,k47609
140362,48115,0.628513,p140362,k48115
140362,54182,0.451124,p140362,k54182
140362,60545,0.444825,p140362,k60545
144650,1331,0.120858,p144650,k1331
144650,2776,0.231252,p144650,k2776
144650,5198,0.241694,p144650,k5198
144650,5371,0.0309041,p144650,k5371
144650,8532,0.233919,p144650,k8532
144650,11391,0.189702,p144650,k11391
144650,11925,0.198049,p144650,k11925
144650,47812,0.201068,p144650,k47812
144650,64860,0.098444,p144650,k64860
149980,0,0.00891148,p149980,k0
149980,362,0.225276,p149980,k362
149980,2134,0.00231063,p149980,k2134
149980,2602,0.411012,p149980,k2602
149980,3345,0.326916,p149980,k3345
149980,3382,0.0629373,p149980,k3382
149980,13760,0.217118,p149980,k13760
149980,21014,0.137705,p149980,k21014
149980,43863,0.00426991,p149980,k43863
162256,325,0.25137,p162256,k325
162256,501,0.422383,p162256,k501
162256,1602,0.343031,p162256,k1602
162256,2197,0.324465,p162256,k2197
162256,2610,0.389247,p162256,k2610
162256,2983,0.451026,p162256,k2983
162256,8062,0.380671,p162256,k8062
162256,9206,0.216398,p162256,k9206
162256,61526,0.480377,p162256,k61526
185553,554,0.00238301,p185553,k554
185553,1910,0.486508,p185553,k1910
185553,2309,0.00412699,p185553,k2309
185553,4461,0.230122,p185553,k4461
185553,12546,0.394747,p185553,k12546
185553,17765,0.00376199,p185553,k17765
185553,21682,0.00521466,p185553,k21682
185553,25621,0.420219,p185553,k25621
185553,81139,0.00538194,p185553,k81139
208461,4578,0.000517997,p208461,k4578
208461,6349,0.216215,p208461,k6349
208461,7860,0.15677,p208461,k7860
208461,8443,0.0430378,p208461,k8443
208461,9042,0.00588288,p208461,k9042
208461,13212,0.0882753,p208461,k13212
208461,13346,0.000944914,p208461,k13346
208461,67537,0.225033,p208461,k67537
208461,74958,0.0691667,p208461,k74958
221245,284,0.351155,p221245,k284
221245,406,0.348904,p221245,k406
221245,492,0.430441,p221245,k492
221245,3792,0.411415,p221245,k3792
221245,6586,0.41892,p221245,k6586
